Product Name (English),Product Name (Chinese),Origin,Product_Type,Specification,Price/lb,Selling Price
Greasyback Shrimp,基围虾,Florida,Shrimp,lb,20.0,26.99
Ridgeback Shrimp,竹节虾,California,Shrimp,lb,7.5,7.99
Spot Prawn Shrimp,珊瑚虾,California,Shrimp,lb,35.0,48.0
Dublin Bay Prawn,螯虾,Norway,Shrimp,lb,48.0,58.0
Lobster,龙虾 波士頓,Boston,Lobster,3~4 lb,14.0,16.99
Lobster,龙虾 波士頓,Boston,Lobster,1.5 lb,13.0,15.99
Australian Lobster,龙虾 澳洲,Australian,Lobster,lb,42.0,56.99
California Lobster,龙虾 加州,California,Lobster,lb,29.0,34.99
Dungeness Crab,肉蟹,Vancouver,Crab,lb,13.5,16.99
Blue Crab,藍蟹,Louisiana,Crab,lb,5.5,7.0
Brown Crab,麵包蟹,U.K.,Crab,lb,13.0,17.99
King Crab,帝王蟹,Norway,Crab,lb,38.0,46.99
Scylla Serrata Crab,膏蟹,Vietnam,Crab,lb,22.0,28.99
Mantis Shrimp,皮皮蝦,Thailand,Mantis Shrimp,lb,45.0,68.0
Zebra Mantis Shrimp,斑馬皮皮蝦,Philippines,Mantis Shrimp,lb,48.0,72.0
Oyster,帶殼生蠔 大,Oregon,Shellfish,XL,23.0,28.0
Oyster,帶殼生蠔 中,Oregon,Shellfish,M,20.0,25.0
Oyster,帶殼生蠔 小,Oregon,Shellfish,S,10.0,18.0
Abalone,鮑魚,Mexican,Shellfish,Pcs,6.0,8.0
Scallop,扇貝,Boston,Shellfish,lb,8.0,9.99
Surf Clam,貴妃蚌,Boston,Shellfish,lb,4.5,5.99
Conch,响螺,Boston,Shellfish,lb,7.0,7.99
Pond Snails,石螺,Boston,Shellfish,lb,5.0,6.99
Babylonia lutosa,花螺,Vietnam,Shellfish,lb,17.0,23.0
Black Rockfish,黑石斑,South Korea,Fish,lb,22.0,26.99
Turbot,多寶魚,South Korea,Fish,lb,22.0,26.99
Tiger Grouper,老虎斑,Taiwan,Fish,lb,25.0,36.99
Coral Grouper,東星斑,Australian,Fish,lb,44.0,56.99
Gopher rockfish,麻斑,California,Fish,lb,17.0,18.99
Bolina rockfish,粉斑,California,Fish,lb,18.0,19.99
Lingcod,花鱈,California,Fish,lb,8.0,10.0
Cabezone,沉龍,California,Fish,lb,16.5,19.99
Red Grouper,大眼紅斑,California,Fish,lb,28.0,33.99
Black cod,黑鱈魚,California,Fish,lb,6.0,9.99
